voter_name,affiliation,first_fwd,first_fwd_2,first_cen,first_g,first_g_2,second_fwd,second_fwd_2,second_cen,second_g,second_g_2,year,award
Aaron Fentress,The Oregonian,Jackson Jr. Jaren (MEM),Adebayo Bam (MIA),Lopez Brook (MIL),Holiday Jrue (MIL),Smart Marcus (BOS),Mobley Evan (CLE),Antetokounmpo Giannis (MIL),Claxton Nic (BKN),Caruso Alex (CHI),White Derrick (BOS),2023,All-Defense
Adam Himmelsbach,Boston Globe,Jackson Jr. Jaren (MEM),Mobley Evan (CLE),Lopez Brook (MIL),White Derrick (BOS),Holiday Jrue (MIL),Green Draymond (GSW),McDaniels Jaden (MIN),Adebayo Bam (MIA),Caruso Alex (CHI),Bridges Mikal (BKN),2023,All-Defense
Adam Lefkoe,WarnerMedia,Anunoby O.G. (TOR),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Bridges Mikal (BKN),Holiday Jrue (MIL),McDaniels Jaden (MIN),Mobley Evan (CLE),Embiid Joel (PHI),Jones Herbert (NOP),Smart Marcus (BOS),2023,All-Defense
Andy Larsen,Salt Lake Tribune,Jackson Jr. Jaren (MEM),Mobley Evan (CLE),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),McDaniels Jaden (MIN),Anunoby O.G. (TOR),Green Draymond (GSW),Jones Herbert (NOP),Brooks Dillon (MEM),2023,All-Defense
Anthony Chiang,Miami Herald,Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),Anunoby O.G. (TOR),Green Draymond (GSW),Adebayo Bam (MIA),Brooks Dillon (MEM),White Derrick (BOS),2023,All-Defense
Anthony Slater,The Athletic,Green Draymond (GSW),Adebayo Bam (MIA),Jackson Jr. Jaren (MEM),Holiday Jrue (MIL),White Derrick (BOS),Antetokounmpo Giannis (MIL),Davis Anthony (LAL),Lopez Brook (MIL),Caruso Alex (CHI),Brooks Dillon (MEM),2023,All-Defense
Antoni Daimiel,Movistar+,Jackson Jr. Jaren (MEM),Mobley Evan (CLE),Lopez Brook (MIL),Holiday Jrue (MIL),Brooks Dillon (MEM),Anunoby O.G. (TOR),Gordon Aaron (DEN),Adebayo Bam (MIA),White Derrick (BOS),Melton De'Anthony (PHI),2023,All-Defense
Bill Reiter,CBSSports.com,Jackson Jr. Jaren (MEM),Mobley Evan (CLE),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),Anunoby O.G. (TOR),Adebayo Bam (MIA),Green Draymond (GSW),Brooks Dillon (MEM),White Derrick (BOS),2023,All-Defense
Bill Simmons,The Ringer,Green Draymond (GSW),Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Holiday Jrue (MIL),White Derrick (BOS),Antetokounmpo Giannis (MIL),Anunoby O.G. (TOR),Lopez Brook (MIL),Caruso Alex (CHI),Bridges Mikal (BKN),2023,All-Defense
Brian Geltzeiler,Sirius Radio,Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Adebayo Bam (MIA),White Derrick (BOS),Holiday Jrue (MIL),Antetokounmpo Giannis (MIL),Brown Jaylen (BOS),Lopez Brook (MIL),Bridges Mikal (BKN),Edwards Anthony (MIN),2023,All-Defense
Brian Lewis,New York Post,Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),Green Draymond (GSW),Anunoby O.G. (TOR),Claxton Nic (BKN),White Derrick (BOS),Brooks Dillon (MEM),2023,All-Defense
Brian Mahoney,Associated Press,Anunoby O.G. (TOR),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Holiday Jrue (MIL),White Derrick (BOS),Antetokounmpo Giannis (MIL),McDaniels Jaden (MIN),Green Draymond (GSW),Bridges Mikal (BKN),Caruso Alex (CHI),2023,All-Defense
Brian Windhorst,ESPN,Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),McDaniels Jaden (MIN),Anunoby O.G. (TOR),Green Draymond (GSW),Brooks Dillon (MEM),White Derrick (BOS),2023,All-Defense
Callie Caplan,Dallas Morning News,Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Adebayo Bam (MIA),Holiday Jrue (MIL),Bridges Mikal (BKN),Anunoby O.G. (TOR),McDaniels Jaden (MIN),Lopez Brook (MIL),Jones Herbert (NOP),Caruso Alex (CHI),2023,All-Defense
Cassidy Hubbarth,ESPN,Jackson Jr. Jaren (MEM),Green Draymond (GSW),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),Mobley Evan (CLE),Anunoby O.G. (TOR),Claxton Nic (BKN),Brooks Dillon (MEM),White Derrick (BOS),2023,All-Defense
Chao Meng,Tencent,Jackson Jr. Jaren (MEM),Green Draymond (GSW),Lopez Brook (MIL),Holiday Jrue (MIL),Smart Marcus (BOS),Antetokounmpo Giannis (MIL),Anunoby O.G. (TOR),Mobley Evan (CLE),Caruso Alex (CHI),White Derrick (BOS),2023,All-Defense
Chris Broussard,Fox Sports,Mobley Evan (CLE),Adebayo Bam (MIA),Jackson Jr. Jaren (MEM),Holiday Jrue (MIL),White Derrick (BOS),Anunoby O.G. (TOR),Green Draymond (GSW),Lopez Brook (MIL),Brooks Dillon (MEM),Bridges Mikal (BKN),2023,All-Defense
Chris Fedor,Cleveland.com,Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Caruso Alex (CHI),Holiday Jrue (MIL),Anunoby O.G. (TOR),McDaniels Jaden (MIN),Green Draymond (GSW),White Derrick (BOS),Jones Herbert (NOP),2023,All-Defense
Chris Herring,Sports Illustrated,Antetokounmpo Giannis (MIL),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),Mobley Evan (CLE),McDaniels Jaden (MIN),Adebayo Bam (MIA),White Derrick (BOS),Jones Herbert (NOP),2023,All-Defense
Chris Mannix,Sports Illustrated,Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Caruso Alex (CHI),Holiday Jrue (MIL),Green Draymond (GSW),Anunoby O.G. (TOR),Embiid Joel (PHI),Dort Luguentz (OKC),White Derrick (BOS),2023,All-Defense
Damichael Cole,Memphis Commercial Appeal,Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),Anunoby O.G. (TOR),McDaniels Jaden (MIN),Green Draymond (GSW),Brooks Dillon (MEM),White Derrick (BOS),2023,All-Defense
Dan Devine,Yahoo! Sports,Jackson Jr. Jaren (MEM),Mobley Evan (CLE),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),Green Draymond (GSW),McDaniels Jaden (MIN),Adebayo Bam (MIA),Brooks Dillon (MEM),White Derrick (BOS),2023,All-Defense
Dave McMenamin,ESPN,Jackson Jr. Jaren (MEM),Green Draymond (GSW),Lopez Brook (MIL),Holiday Jrue (MIL),White Derrick (BOS),Anunoby O.G. (TOR),Mobley Evan (CLE),Claxton Nic (BKN),Caruso Alex (CHI),Butler Jimmy (MIA),2023,All-Defense
Dave Pasch,ESPN,Jackson Jr. Jaren (MEM),Anunoby O.G. (TOR),Lopez Brook (MIL),Holiday Jrue (MIL),Butler Jimmy (MIA),McDaniels Jaden (MIN),Green Draymond (GSW),Mobley Evan (CLE),Bridges Mikal (BKN),Smart Marcus (BOS),2023,All-Defense
David Aldridge,The Athletic,Mobley Evan (CLE),Green Draymond (GSW),Jackson Jr. Jaren (MEM),Holiday Jrue (MIL),Caruso Alex (CHI),Antetokounmpo Giannis (MIL),Jones Herbert (NOP),Lopez Brook (MIL),Brooks Dillon (MEM),White Derrick (BOS),2023,All-Defense
David Villafranca,EFE News,Jackson Jr. Jaren (MEM),Antetokounmpo Giannis (MIL),Lopez Brook (MIL),Caruso Alex (CHI),White Derrick (BOS),Anunoby O.G. (TOR),Mobley Evan (CLE),Claxton Nic (BKN),Holiday Jrue (MIL),Butler Jimmy (MIA),2023,All-Defense
Dennis Scott,WarnerMedia,Antetokounmpo Giannis (MIL),Green Draymond (GSW),Lopez Brook (MIL),Holiday Jrue (MIL),George Paul (LAC),Davis Anthony (LAL),Barnes Scottie (TOR),Jackson Jr. Jaren (MEM),Paul Chris (PHX),Smart Marcus (BOS),2023,All-Defense
Doris Burke,ESPN,Jackson Jr. Jaren (MEM),Anunoby O.G. (TOR),Lopez Brook (MIL),Caruso Alex (CHI),Holiday Jrue (MIL),Green Draymond (GSW),Mobley Evan (CLE),Claxton Nic (BKN),White Derrick (BOS),Brooks Dillon (MEM),2023,All-Defense
Doug Smith,The Toronto Star,Anunoby O.G. (TOR),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),Mobley Evan (CLE),McDaniels Jaden (MIN),Green Draymond (GSW),Brooks Dillon (MEM),White Derrick (BOS),2023,All-Defense
Duane Rankin,Arizona Republic,Jackson Jr. Jaren (MEM),Mobley Evan (CLE),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),McDaniels Jaden (MIN),Adebayo Bam (MIA),Claxton Nic (BKN),Thybulle Matisse (POR),Smart Marcus (BOS),2023,All-Defense
Eduardo Barao,BAND,Jackson Jr. Jaren (MEM),Green Draymond (GSW),Lopez Brook (MIL),Holiday Jrue (MIL),Gilgeous-Alexander Shai (OKC),Butler Jimmy (MIA),Anunoby O.G. (TOR),Embiid Joel (PHI),Smart Marcus (BOS),Murray Dejounte (ATL),2023,All-Defense
Ernie Johnson,WarnerMedia,Mobley Evan (CLE),Anunoby O.G. (TOR),Jackson Jr. Jaren (MEM),Holiday Jrue (MIL),Smart Marcus (BOS),McDaniels Jaden (MIN),Green Draymond (GSW),Lopez Brook (MIL),Brooks Dillon (MEM),Bridges Mikal (BKN),2023,All-Defense
Frank Isola,Sirius Radio,Antetokounmpo Giannis (MIL),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Smart Marcus (BOS),Holiday Jrue (MIL),Adebayo Bam (MIA),Anunoby O.G. (TOR),Embiid Joel (PHI),Caruso Alex (CHI),White Derrick (BOS),2023,All-Defense
Gary Washburn,Boston Globe,Jackson Jr. Jaren (MEM),Mobley Evan (CLE),Lopez Brook (MIL),White Derrick (BOS),Holiday Jrue (MIL),Adebayo Bam (MIA),Davis Anthony (LAL),Claxton Nic (BKN),Bridges Mikal (BKN),Butler Jimmy (MIA),2023,All-Defense
Greg Anthony,WarnerMedia,McDaniels Jaden (MIN),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Holiday Jrue (MIL),Brooks Dillon (MEM),Antetokounmpo Giannis (MIL),Adebayo Bam (MIA),Embiid Joel (PHI),White Derrick (BOS),Butler Jimmy (MIA),2023,All-Defense
Howard Beck,PBWA/GQ,Green Draymond (GSW),Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Holiday Jrue (MIL),White Derrick (BOS),McDaniels Jaden (MIN),Anunoby O.G. (TOR),Lopez Brook (MIL),Bridges Mikal (BKN),Caruso Alex (CHI),2023,All-Defense
Jalen Rose,ESPN,Jackson Jr. Jaren (MEM),Anunoby O.G. (TOR),Lopez Brook (MIL),Holiday Jrue (MIL),White Derrick (BOS),Mobley Evan (CLE),Green Draymond (GSW),Claxton Nic (BKN),Brooks Dillon (MEM),Caruso Alex (CHI),2023,All-Defense
Jamal Collier,ESPN,Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Caruso Alex (CHI),Holiday Jrue (MIL),Green Draymond (GSW),Anunoby O.G. (TOR),Claxton Nic (BKN),White Derrick (BOS),Smart Marcus (BOS),2023,All-Defense
James Owczarski,Milwaukee Journal Sentinel,McDaniels Jaden (MIN),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),Mobley Evan (CLE),Anunoby O.G. (TOR),Allen Jarrett (CLE),White Derrick (BOS),Jones Herbert (NOP),2023,All-Defense
Jared Greenberg,WarnerMedia,Adebayo Bam (MIA),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Holiday Jrue (MIL),White Derrick (BOS),Mobley Evan (CLE),Anunoby O.G. (TOR),Claxton Nic (BKN),Dort Luguentz (OKC),Bridges Mikal (BKN),2023,All-Defense
